timestamp,service,cpu_utilization,rps,latency_p95_ms,error_rate,mem_mb,node
2026-06-12T22:54:00,payments,0.0,0.0,0.0,1.0,31.7,
2026-06-12T22:54:00,auth,0.0,0.0,0.0,1.0,41.1,
2026-06-12T22:54:00,checkout,0.0,0.0,0.0,1.0,43.2,
2026-06-12T22:54:00,fraud,0.0,0.0,0.0,1.0,44.8,
2026-06-12T22:55:00,payments,1.8,0.0,1.03,0.0,53.8,node-1
2026-06-12T22:55:00,auth,1.4,0.0,1.82,0.0,53.5,node-1
2026-06-12T22:55:00,checkout,1.2,0.0,1.36,0.0,53.6,node-2
2026-06-12T22:55:00,fraud,0.9,0.0,2.6,0.0,53.5,node-2
2026-06-12T22:56:00,payments,0.3,2.4,1.26,0.0,53.9,node-1
2026-06-12T22:56:00,auth,0.2,1.133,1.37,0.0,53.5,node-1
2026-06-12T22:56:00,checkout,0.3,1.6,1.36,0.0,53.6,node-2
2026-06-12T22:56:00,fraud,0.1,0.733,1.32,0.0,53.6,node-2
2026-06-12T22:57:00,payments,0.4,2.133,1.26,0.0,53.9,node-1
2026-06-12T22:57:00,auth,0.3,1.533,1.37,0.0,53.6,node-1
2026-06-12T22:57:00,checkout,0.3,1.533,1.27,0.0,53.6,node-2
2026-06-12T22:57:00,fraud,0.3,0.933,1.32,0.0,53.6,node-2
2026-06-12T22:58:00,payments,0.5,2.533,1.26,0.0,53.9,node-1
2026-06-12T22:58:00,auth,0.3,1.333,1.31,0.0,53.6,node-1
2026-06-12T22:58:00,checkout,0.4,1.933,1.27,0.0,53.6,node-2
2026-06-12T22:58:00,fraud,0.1,0.6,1.32,0.0,53.6,node-2
2026-06-12T22:59:00,payments,0.4,2.2,600.66,0.0,54.0,node-1
2026-06-12T22:59:00,auth,0.3,1.867,1.3,0.0,53.6,node-1
2026-06-12T22:59:00,checkout,0.3,1.467,1.27,0.0,53.7,node-2
2026-06-12T22:59:00,fraud,0.2,0.8,1.32,0.0,53.6,node-2
2026-06-12T23:00:00,payments,0.5,2.867,601.42,0.0,54.0,node-1
2026-06-12T23:00:00,auth,0.3,1.333,1.3,0.0,53.6,node-1
2026-06-12T23:00:00,checkout,0.3,1.6,1.27,0.0,53.7,node-2
2026-06-12T23:00:00,fraud,0.2,1.067,1.32,0.0,53.6,node-2
2026-06-12T23:01:00,payments,0.4,2.4,601.55,0.0,54.0,node-1
2026-06-12T23:01:00,auth,0.3,1.2,1.3,0.0,53.6,node-1
2026-06-12T23:01:00,checkout,0.4,1.8,1.27,0.0,53.7,node-2
2026-06-12T23:01:00,fraud,0.3,1.4,1.32,0.0,53.6,node-2
2026-06-12T23:02:00,payments,0.5,2.267,601.64,0.0,54.1,node-1
2026-06-12T23:02:00,auth,0.3,1.4,1.28,0.0,53.6,node-1
2026-06-12T23:02:00,checkout,0.3,2.133,1.27,0.0,53.7,node-2
2026-06-12T23:02:00,fraud,0.2,1.0,1.32,0.0,53.7,node-2
2026-06-12T23:03:00,payments,0.0,0.0,1.8,0.0,53.8,node-1
2026-06-12T23:03:00,auth,0.3,1.8,1.28,0.0,53.6,node-1
2026-06-12T23:03:00,checkout,0.3,1.533,1.27,0.0,53.7,node-2
2026-06-12T23:03:00,fraud,0.3,1.333,1.3,0.0,53.7,node-2
2026-06-12T23:04:00,payments,0.4,2.333,1.16,0.0,53.9,node-1
2026-06-12T23:04:00,auth,0.2,1.4,1.28,0.0,53.6,node-1
2026-06-12T23:04:00,checkout,0.4,2.333,1.26,0.0,53.7,node-2
2026-06-12T23:04:00,fraud,0.3,1.0,1.3,0.0,53.7,node-2
2026-06-12T23:05:00,payments,0.4,2.867,1.07,0.0,53.9,node-1
2026-06-12T23:05:00,auth,0.3,1.867,1.27,0.0,53.6,node-1
2026-06-12T23:05:00,checkout,0.3,1.733,1.26,0.0,53.7,node-2
2026-06-12T23:05:00,fraud,0.1,0.533,1.32,0.0,53.7,node-2
2026-06-12T23:06:00,payments,0.5,2.6,1.1,0.0,53.9,node-1
2026-06-12T23:06:00,auth,0.3,1.667,1.26,0.0,53.6,node-1
2026-06-12T23:06:00,checkout,0.5,2.0,1.27,0.0,53.7,node-2
2026-06-12T23:06:00,fraud,0.2,0.733,1.3,0.0,53.7,node-2
2026-06-12T23:07:00,payments,0.4,2.533,1.07,0.0,53.9,node-1
2026-06-12T23:07:00,auth,0.3,1.667,1.26,0.0,53.6,node-1
2026-06-12T23:07:00,checkout,0.3,1.467,1.26,0.0,53.7,node-2
2026-06-12T23:07:00,fraud,0.2,1.2,1.3,0.0,53.7,node-2
2026-06-12T23:08:00,payments,0.4,2.6,1.07,0.0,53.9,node-1
2026-06-12T23:08:00,auth,0.3,1.2,1.26,0.0,53.6,node-1
2026-06-12T23:08:00,checkout,0.3,1.733,1.26,0.0,53.7,node-2
2026-06-12T23:08:00,fraud,0.3,1.2,1.3,0.0,53.7,node-2
2026-06-13T11:41:00,payments,0.0,0.0,0.0,1.0,31.9,
2026-06-13T11:41:00,auth,0.0,0.0,0.0,1.0,43.2,
2026-06-13T11:41:00,checkout,0.0,0.0,0.0,1.0,44.6,
2026-06-13T11:41:00,fraud,0.0,0.0,0.0,1.0,45.6,
